Nume Stație,Latitudine,Longitudine,BENZINA EVO 100 PLUS,BENZINA EVO 95,Benzina,Benzina 95,Benzina 98,Benzina Extra 99,Benzina Standard 95 / Benzina 95,Benzina +,Benzina 95,Diesel,ECO Premium 95 - temporar nu mai comercializeaza,ECTO 100,ECTO PLUS 95,ECTO Super Diesel,EURO Plus fara pb,EURO Super 98 fara pb,Efix Benzina 95,Efix Motorina 51,EfixS Benzina 98,EfixS Motorina 55,Euro L Diesel,Euroluk COR 95,G-Drive 100,GPL,GPL Auto,GPL auto,MOTORINA EVO D,MOTORINA EVO D PLUS,Motorina,Motorina EURO,Motorina EURO3,Motorina Extra,Motorina Standard,Motorina Super EURO4,Motorina superioara,Motorina +,N/A,NANO 95,NANO 98,NANO DIESEL,NANO SUPER DIESEL,OMV Diesel,OMV MaxxMotion 100 plus,OMV MaxxMotion 95,OMV MaxxMotion Diesel,Premium Diesel,Premium E Plus,Premium EURO 4 - temporar nu mai comercializeaza,TEMPO Plus 98 - temporar nu mai comercializeaza
"PETROM - Arges, Ratesti",44.700610,25.228850,N/A,N/A,N/A,N/A,N/A,7.85,7.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.01,7.60,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Hunedoara, Dobra",45.907950,22.581600,N/A,N/A,N/A,N/A,N/A,N/A,7.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.97,7.56,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Botosani, Dorohoi",47.939200,26.408800,N/A,N/A,N/A,N/A,N/A,7.80,7.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.99,7.58,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Hunedoara, Petrosani",45.412447,23.369506,7.98,7.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.59,8.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.04
"PETROM - Bistrita - Nasaud, Nasaud",47.284760,24.422800,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Harghita, Gheorgheni",46.727990,25.581640,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Galati, Targu Bujor",45.858510,27.915280,N/A,N/A,N/A,N/A,N/A,N/A,7.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.97,7.56,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Bihor, Bors",47.114950,21.805840,5.90,7.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.60,8.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Salaj, Crasna",47.162900,22.872100,N/A,N/A,N/A,N/A,N/A,N/A,7.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Dambovita, Razvad",44.936190,25.528640,N/A,N/A,N/A,N/A,N/A,7.72,7.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.93,7.52,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Bucuresti, Ilfov, Sector 3",44.420790,26.125730,N/A,N/A,N/A,N/A,N/A,7.76,7.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.93,7.52,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Suceava, Vatra Dornei",47.347600,25.360900,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Harghita, Cristuru Secuiesc",46.282430,25.018800,N/A,N/A,N/A,N/A,N/A,N/A,7.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.99,7.58,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Botosani, Botosani",47.752930,26.640500,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Teleorman, Videle",44.279990,25.525000,N/A,N/A,N/A,N/A,N/A,7.73,7.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.93,7.52,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Cluj, Huedin",46.855850,23.044610,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Iasi, Pascani",47.243940,26.723840,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Bucuresti, Ilfov, Sector 5",44.430970,26.071490,N/A,N/A,N/A,N/A,N/A,7.70,7.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.91,7.50,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Prahova, Ploiesti",44.956160,26.007700,N/A,N/A,N/A,N/A,N/A,N/A,7.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.52,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Cluj, Turda",46.562125,23.788253,7.98,7.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.60,8.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.35
"PETROM - Arad, Sebis",46.371930,22.121530,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Mehedinti, Cujmir",44.217100,22.923900,N/A,N/A,N/A,N/A,N/A,7.76,7.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.93,7.52,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Galati, Galati",45.421460,28.029150,N/A,N/A,N/A,N/A,N/A,7.76,7.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.62,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Cluj, Dej",47.150700,23.877200,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Dambovita, Targoviste",44.912760,25.451180,N/A,N/A,N/A,N/A,N/A,7.72,7.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.63,N/A,N/A,N/A,N/A,N/A,N/A,7.93,7.52,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Arges, Bradu",44.831600,24.883710,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Ialomita, Tandarei",44.642660,27.678020,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Constanta, Constanta",44.223448,28.594772,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Sibiu, Copsa Mica",46.114350,24.233240,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Buzau, Patarlagele",45.322530,26.358200,N/A,N/A,N/A,N/A,N/A,N/A,7.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.99,7.58,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Galati, Galati",45.410282,28.001634,7.97,7.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.59,8.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.35
"MOL - Galati, Galati",45.477700,28.033120,7.97,7.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.59,8.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Galati, Galati",45.442831,28.036117,7.97,7.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.59,8.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.57
"PETROM - Botosani, Botosani",47.752930,26.640500,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Hunedoara, Deva",45.876880,22.901060,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Arges, Pitesti",44.870950,24.852960,7.98,7.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.52,N/A,N/A,7.59,8.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Arges, Pitesti",44.846050,24.888270,7.97,7.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.58,N/A,N/A,7.61,8.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Arges, Curtea de Arges",45.106310,24.669730,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Arges, Pitesti",44.824650,24.916910,7.98,7.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.58,N/A,N/A,7.61,8.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.35
"MOL - Arges, Pitesti",44.886690,24.825170,7.98,7.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.55,N/A,N/A,7.59,8.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.35
"PETROM - Maramures, Tauti Magheraus",47.671890,23.423790,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Teleorman, Tatarasti de Sus",44.408700,25.124700,N/A,N/A,N/A,N/A,N/A,N/A,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Harghita, Odorheiu Secuiesc",46.298730,25.288490,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Ialomita, Fetesti",44.405990,27.830320,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Bucuresti, Ilfov, Sector 3",44.411540,26.125550,N/A,N/A,N/A,N/A,N/A,7.76,7.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.93,7.52,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Tulcea, Tulcea",45.163530,28.790430,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Suceava, Suceava",47.659280,26.264980,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Arges, Pitesti",44.852400,24.885620,N/A,N/A,N/A,N/A,N/A,N/A,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Cluj, Floresti",46.744511,23.458073,7.98,7.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.67,N/A,N/A,7.64,8.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Iasi, Targu Frumos",47.215940,27.008540,N/A,N/A,N/A,N/A,N/A,N/A,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Valcea, Dragasani",44.625000,24.268900,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Arges, Cateasca",44.755310,25.082440,N/A,N/A,N/A,N/A,N/A,7.85,7.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.01,7.60,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Harghita, Toplita",46.925890,25.356480,N/A,N/A,N/A,N/A,N/A,7.80,7.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Constanta, Negru Voda",43.821800,28.217800,N/A,N/A,N/A,N/A,N/A,N/A,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Hunedoara, Deva",45.871100,22.919120,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Olt, Corabia",43.772750,24.487710,N/A,N/A,N/A,N/A,N/A,7.76,7.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.93,7.52,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Arad, Arad",46.174910,21.367560,N/A,N/A,N/A,N/A,N/A,7.77,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.94,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Arad, Ineu",46.422200,21.839790,N/A,N/A,N/A,N/A,N/A,7.75,7.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"MOL - Harghita, Gheorgheni",46.714030,25.602280,7.93,7.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.69,N/A,N/A,7.59,8.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"PETROM - Satu Mare, Iojib",47.804120,23.167520,N/A,N/A,N/A,N/A,N/A,N/A,7.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.53,N/A,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
